"Plot","Tea_ID","Green","Rooibos","stab","ar","rate","Angle","New distances","ALT","Soilmoist","Distance","Spiral","Vegetation","Soil"
"East Creek Wet",131,37.189415940626,15.8912960851387,0.558320475764537,0.243807097377976,0.0376775821592394,135,0,52.4,37.8,10,10,"Moss","Loose fibric"
"East Creek Wet",132,37.6420361247947,14.8650593738755,0.552944939135454,0.246774393597229,0.0329373067037298,NA,NA,NA,NA,NA,NA,NA,NA
"East Creek Wet",133,33.3937592867756,17.0462762111352,0.603399533411216,0.218923457557009,0.0538560390587503,180,23,28.8,50.3,0.5,11,"Forbs","Dense mesic"
"East Creek Wet",134,35.8713762079307,11.6842105263158,0.573974154300111,0.235166266826339,0.0245308854462259,180,35,47.8,31.5,12.5,12,"Moss","Moss"
"East Creek Wet",135,38.1614349775785,15.2939068100358,0.546776306679591,0.250179478712866,0.0337497215366542,180,50,65.6,11.4,27.5,13,"Forbs","Dense mesic"
"East Creek Wet",136,39.409375,19.0100111234705,0.531955166270784,0.258360748218527,0.0475365565009603,225,5.75,23.9,43.1,0.75,14,"Litter","Litter"
"East Creek Wet",137,35.3149001536098,15.2495511669659,0.580583133567579,0.231518110270696,0.0383901510991546,225,20,35.2,40.7,15,15,"Willow shrub","Dense mesic"
"East Creek Wet",138,32.6692708333333,14.5607476635514,0.612003909342835,0.214173842042755,0.0406780684618641,270,24,26.4,47.1,1,16,"Equisetum","Loose fibric"
"East Creek Wet",139,38.955909369259,14.9156355455568,0.537340743833028,0.255387909404169,0.0313272292785032,NA,NA,NA,NA,NA,NA,NA,NA
"East Creek Wet",140,35.8422174840085,15.5831809872029,0.574320457434578,0.234975107496113,0.0388649814164803,270,7.5,32.4,27.7,17.5,17,"Willow shrub","Dense mesic"
"East Creek Wet",141,36.8462859596393,12.5154489276627,0.562395653685994,0.241557599165332,0.0260731677970664,270,0,58.2,33.9,30,18,"Willow shrub","Mineral"
